clean_message,label
mumnoon person ek sharif insaan hai ais liye media nay usay covarage nahi dee,Neutral
batao kaun kaamyaab hai hum main se,Neutral
ducky bhi ap kamal ha end ha bus end ap,Positive
dharna do tumay cpec say kiya besharmi ki koi inteha hoti hay,Negative
yh kuta shehbaz pmln k khilaf backwas krne k muawan e khasosi ha,Neutral
1994 mein wo senate peters burg ke deputy mayor ban gae,Neutral
185 sub mubarak pmln seat win lee gd,Positive
mashallah lajawab,Positive
hahaha u too say thanks to uncle aunti wrna hm sb ka kya hota,Neutral
ducky bhai ap ka teeth bhata ganda hai ap mbi past ni karta jab ap hasta ho to bhata ganda dant lagta hai,Negative
yr kia kroon mn,Negative
oo shut up sir bi apni side pr rahy inshallah aglay elections me sir ke sath sahib ke jalsy pr,Neutral
her chiz ko try karte hein,Neutral
yhi dikh raha mella loot lo,Positive
salam pakistan and all veiwers may kehta hoon k tanzeemon per pabandi lagye jaye yeh loog talimee idaroon may badmashi kertay hain or yeh teachers say bhi badtamizi kertay hain,Negative
yaad aya bc,Negative
aoo bai aoo,Neutral
toopi dramy krti,Negative
currecy pair ma kn sa sai hota hin,Neutral
ok hogya,Neutral
perfect diet plan,Positive
kaha tha nai lagy ga ye,Negative
danyal beta agar dam ha khud mara account report bolo,Negative
please is mamle mei ap help kr dein,Positive
tailors ky pas ma jata ni,Neutral
caiptan ka kal 12 pm swabi shewa adda amad,Neutral
plzzx apni 400 wickets puri kr k retire hona plzzzz its a request lala g,Neutral
elahi ameen sumameen allah pak sab ko ulaad ki namat say nawaz daim aur ap sab k sadqe muje b ulaad day,Positive
pehlay pmln bolo kai mj dawar pdm kai punjab kai jalson bula lai,Negative
smal mek dress chahy,Neutral
kaha dafa hua pra ha,Negative
teri baat ho rahi,Neutral
wo jo qissa e gham sunn kr bhi hansaty aur hansatay thy un dostoon ko dhoond ly aa ay waqt ky aaj dil bohat udas hai,Negative
qasam se mjy to phly 5 mint ka prgrm dkh k hi shrm aagae aisy log shrm se doob k marr kun nhi jaty,Negative
haayee chalyn bhai kbhi sath m khelngy,Neutral
1 week 7 x 3 21 days,Neutral
yunas ki zimadari ki waja sa is ko captain baba chahya zamadar bhee ha aur acha khilari bhee,Positive
g sar g copy mujy pata gea kia matlab eska,Negative
akhiri bar unhen 31 march 1971 ke roz mashriqi pakistan bheja gaya,Neutral
nyc look,Neutral
my final my l qr its nt final for me,Positive
esa to na bol,Positive
yah phir paiso kay aivaz rymond daivise ko chor diya gya or waha afia sidique kitnay saloo say apnay mulk say durr hai sharm kero kuch,Negative
but stats,Neutral
ab low mc k trf turn krhi socha ye thora utha liya jaye,Neutral
model town ki b misal ni melti kasur sex ki b misal ni melti nandi pur ki b misal ni melti teri tajurba kar team ki b misal ni melti jes tra parchi sy dekh k party hu us ki b misal ni milti,Negative
meri begum ka khandan akbari darwazay ke pas rehta hai,Negative
i want ek gallon icecream 3 d,Neutral
ducky bhai is taty bhai,Negative
bahi kya hua para hy,Neutral
meri jind meri jan,Positive
good aqrar,Positive
iss eid kay dramon main ye drama sub se achha aur mazahiya hai end main jo bloopers thay wo bhi zabardast thay i love both hasan niazi and shehzad sheikh,Positive
meri ak hi bestest friend wo kr ri biomedical engineeringair university islamabad sy,Neutral
bhai g ap ka thread to meri screen par show he nahi ho raja,Negative
nice hay camera bi ashs hay or sab say bari bat price kam hay,Positive
hahaha latnti,Negative
2001 mein unhain aqwam e muttahida ke tarqiati fund barae khawateeen ki taraf se millennium prize yani hazarey ke inam se nawaza gea 2002 mein asma jahangir ko lisl and leo eitinger prize mila,Positive
onki yaha pesa ham dubbel he ye bta den sharma q rhe yhi bat pmln or ppp kha krti os waqt kia sanp soongh have hoti he mulk tabah dia or ap jese himayatio kleja thanda nahi khod apne log tng hen inse,Negative
mje pizza khila k,Positive
facebook par jhoti mohabbat ka dawa kar k masoom larkiun ko bawaqoof banaya jata hay or un kee zindagee taba ho jati hay,Negative
dallal shareef begarat shaks,Negative
iqbal bano ka aabai watan multan tha,Neutral
1985 mein sasha se divorce ke bad stallone ne rocky 4 ki actress par jet nelson se shadi kar li,Negative
allah ke kasam mujy agr kisey say nafrat ha pti ke glame wlou say itna defa kashmir nahi krtay jitna pti krtay bahi logeu kia gay ma be pmln spoot krty hu but jidr ghalt hu jagy ghalt bolta hu but pti,Negative
very good,Positive
account temporarily unavailable because it violate the twitter media policy learn more,Negative
hahaha haan main to boht shoq se chara khana khati hoon aur bohto achay achay mazedaar qism kay charay khanay banati bhi hoon,Positive
nai bs kuch khas nai,Neutral
mujy abhi kxh ni ayi,Negative
kashmiri chai ki recipe winter m buhat achi lgti ha kfoods kashmiri chai ki recipe m patti kon si dali jati ha,Positive
muharram me 342 imam bargaho me se 61 hassas qarar 17558 police ahalkar 646 van or 426 biker pr ahalkar security sambhalay ge,Negative
etni lot mar k bad ap pakistan awam b perwa nhi awam chahy jiay mary ap logo apni syast bchani h zati mqasid k liay etny logo zindgian dao py lga pakistan ap k liay ik business k elawa or nhi shrm tm mgr ati nhi,Negative
selma lagerlof bayak waqat mahir e taleem novel nigar kahani kar shayar sawanah nigar khud nosht nigar aur drama nigar thein,Positive
pmln b tankhuwah tax k paison milti wesy or pa k members zuban py jaen sir wrna zuban ik lay k maryam orangzeb tk sbko pta kiski kitni kharab moazzaz shehri volume khuwaja haris b parh k wapis dia,Negative
qoum parast jamat ka rukn shamil hassas idaray,Neutral
boy this bull is totally change for historical,Neutral
dabba khali is liye ho ga kyun k tum kha chuki ho gi na,Neutral
bkul ap ki trha,Negative
wah keya bat hy,Positive
bhi lrki bana rhy mujy,Neutral
so sweet,Positive
namra ke bhi,Neutral
stay happy wherever you go,Positive
is waqt mil jay koi,Neutral
wapis le ayein ge person se bat hui,Neutral
trump book in 42 sell limit trigerd booking kr lo jis ne li,Neutral
pmln ke nawazsharif ham wapis la ker aen ge inshallah nawazsharif kahan jagah ap milin ge or inshallah pure sall tak rahin hamari allah ddua ke unhe sehat ata farmae ameen,Positive
o stupid api matlab he apni service banana doseray media kahan say aaya shadeeed jahil,Negative
main jodhpur jar aha hon tumhe mere aehloayaal ko sath le kar forum hindustan highway commision chale aao aur wahan panah le lo,Neutral
ya hai drama ak bar deko t maza aya ga,Positive
ab gui ki taraf ayun ga,Neutral
done guru g,Positive
javed miandad ko bachpan se circket ka mahoul mila,Positive
ghtya sahafi,Negative
btc kiya kare news me kuch kaas nahe ta na,Neutral
siyasat mazhab tasoof saqafat aur adab jaise matnoo aur baaz auqaat mutazad mazameen par kausar niazi ko yaksaa dastaras hasil thi,Positive
mein ne kaha tha na k nokia nokia hay,Neutral
karachi liaqatabad b1area me ghr ghr fhashi ke addy chl rhy he plz ap wha tshrif lay,Negative
fatima auntie thank u,Positive
4 phone le chuka hoon zero problem whatsoever bohat zabardast hain infinix ke sets,Positive
i think writer ka b dil tang ho gaya ta k end leky baer hi drama darmiyan may khatam kar diya bakwas se bhi bakwas drama tha,Negative
veen g plz agr pmln wali batain krni too spurt usi krain srimran aj tk ksi female zati krdar kushi k politics nahi or kid involve k ap patwari k level pr jain too behter plzz,Negative
ye 2021 ka data dekh rha hn me,Neutral
are wah extreamer ji kia golian barsai hen car par yani k ab firing karne ki bhi zaroorat nahi jis ko bhi marna he bas photoshop k zariye mado or pakre bhi na jao,Negative
wo bhi apny,Neutral
pmln amp india ek e kaam ek baat b nhi sunii jaatii in,Negative
kia bna h iska,Neutral
zardari sahib,Negative
